fid,postal,school_phone,program,@computed_region_mnf4_kaez,@computed_region_5jki_au6x,epsb_ward,school_email,point_y,distict_centre,school_website,point_x,childcare,grades,city_ward,@computed_region_izdr_ja4x,address,school_name,school_code,@computed_region_7ccj_gre3,@computed_region_ecxu_fw7u,NUMPOINTS
1,T6J7J4,(780) 439-9314,,2,6,EPSB WARD H,georgepnicholson@epsb.ca,53.44275285,,http://georgepnicholson.epsb.ca,-113.5254553,Yes,K to Gr 6,WARD 09,8,1120 - 113 Street NW,George P. Nicholson School,1004,309,108,60
2,T6H0L3,(780) 435-7140,,2,5,EPSB WARD F,mckee@epsb.ca,53.48768626,BLA,http://mckee.epsb.ca/,-113.5088307,Yes,K to Gr 6,WARD 10,6,10725 - 51 Avenue NW,McKee School,7195,26,19,776
3,T5Y2P7,(780) 475-1760,PAP,7,3,EPSB WARD B,jdbracco@epsb.ca,53.603521,BAO/OPP,http://jdbracco.epsb.ca,-113.3921018,No,Gr 7-9,WARD 04,2,3150 - 139 Avenue NW,John D Bracco School,7573,144,184,406
4,T6T0J4,(780) 468-4361,,4,7,EPSB WARD G,ablairmcpherson@epsb.ca,53.46964159,,http://ablairmcpherson.epsb.ca/,-113.3618197,No,K to Gr 9,WARD 12,7,430 Tamarack Green NW,A. Blair McPherson School,1458,161,40,139
5,T5Y6E5,(780) 472-6029,COG/FDK,7,3,EPSB WARD B,horsehill@epsb.ca,53.65676027,,http://horsehill.epsb.ca,-113.343731,Yes,K to Gr 6,WARD 04,2,19355 Meridian Street NW,Horse Hill School,7567,369,234,2
6,T5C1Y2,(780) 476-2344,FDK,10,3,EPSB WARD B,princeton@epsb.ca,53.58976591,PKP/INT,http://princeton.epsb.ca,-113.4596977,Yes,K to Gr 6,WARD 07,2,7720 - 130 Avenue NW,Princeton School,7187,242,156,384
7,T5Z2Z1,(780) 456-6980,,6,2,EPSB WARD A,lagolindo@epsb.ca,53.63575864,BAO,http://lagolindo.epsb.ca/,-113.4874774,No,K to Gr 6,WARD 03,1,17303 - 95 Street NW,Lago Lindo School,7277,299,190,165
8,T6G1T5,(780) 433-3924,,11,5,EPSB WARD F,windsor@epsb.ca,53.52393016,,http://windsorpark.epsb.ca/,-113.5348681,Yes,K to Gr 6,WARD 08,6,8720 - 118 Street NW,Windsor Park School,7182,176,146,382
9,T6H2V5,(780) 434-6756,BGE/COG,2,5,EPSB WARD F,allendale@epsb.ca,53.5012013,INT,http://allendale.epsb.ca,-113.5037485,No,Gr 7-9,WARD 10,6,6415 - 106 Street NW,Allendale School,7500,16,10,325
10,T6J4R7,(780) 413-0263,,2,6,EPSB WARD F,lsbluequill@epsb.ca,53.46109479,,http://outreach.epsb.ca,-113.529967,No,Gr 10-12,WARD 10,6,284 Saddleback Road NW,Learning Store at Blue Quill,7724,140,171,188
