OBJECTID,Reported_Date,Occurrence_Category,Occurrence_Group,Occurrence_Type_Group,Intersection,Reported_Day,Reported_Month,Reported_Year,Date_Reported,weekday,month
1,5/6/2023 12:00,Non-Violent,Property,Theft Under $5000,123A ST/137 AV,6,5,2023,5/6/2023,Saturday,May
3,5/5/2023 12:00,Disorder,General Disorder,Trouble with Person,107 AV/116 ST,5,5,2023,5/5/2023,Friday,May
4,5/5/2023 12:00,Non-Violent,Property,Theft Under $5000,131A AV/132 ST,5,5,2023,5/5/2023,Friday,May
5,5/5/2023 12:00,Non-Violent,Abandoned/Recovered/Seized Vehicles,Recovered Motor Vehicle,121 ST/139 AV,5,5,2023,5/5/2023,Friday,May
7,5/5/2023 12:00,Violent,Personal Violence,Assault,28 AV/LAKEWOOD TC,5,5,2023,5/5/2023,Friday,May
8,5/5/2023 12:00,Non-Violent,Property,Break and Enter Commercial,38 AV/76 ST,5,5,2023,5/5/2023,Friday,May
9,5/5/2023 12:00,Non-Violent,Property,Theft of Motor Vehicle,120 AV/85 ST,5,5,2023,5/5/2023,Friday,May
10,5/5/2023 12:00,Non-Violent,Property,Theft Under $5000,69A ST/97 AV,5,5,2023,5/5/2023,Friday,May
11,5/5/2023 12:00,Violent,Personal Violence,Assault,AUSTIN OBRIEN RD/AUSTIN OBRIEN RD,5,5,2023,5/5/2023,Friday,May
12,5/5/2023 12:00,Non-Violent,Property,Fraud - Financial,115 AV/KINGSWAY ,5,5,2023,5/5/2023,Friday,May
14,5/5/2023 12:00,Drugs,Drug Violations,Drugs,81 ST/82 AV,5,5,2023,5/5/2023,Friday,May
16,5/5/2023 12:00,Non-Violent,Property,Fraud General,109 AV/166A ST,5,5,2023,5/5/2023,Friday,May
17,5/5/2023 12:00,Traffic,Criminal Flights/Impaired Operation/Escape Lawful ,Impaired Driving,136 AV/FORT RD,5,5,2023,5/5/2023,Friday,May
18,5/5/2023 12:00,Non-Violent,Property,Theft Under $5000,100 AV/107 ST,5,5,2023,5/5/2023,Friday,May
19,5/5/2023 12:00,Disorder,General Disorder,Trespassing,100 ST/102A AV,5,5,2023,5/5/2023,Friday,May
20,5/5/2023 12:00,Non-Violent,Property,Theft Under $5000,163 ST/97 AV,5,5,2023,5/5/2023,Friday,May
21,5/5/2023 12:00,Disorder,General Disorder,Trouble with Person,100 ST/105A AV,5,5,2023,5/5/2023,Friday,May
26,5/4/2023 12:00,Disorder,General Disorder,Trespassing,79 AV/79 AV,4,5,2023,5/4/2023,Thursday,May
27,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,109 ST/21 AV,4,5,2023,5/4/2023,Thursday,May
28,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,111 AV/111 AV,4,5,2023,5/4/2023,Thursday,May
29,5/4/2023 12:00,Non-Violent,Property,Break and Enter Residential,138 AV/70 ST,4,5,2023,5/4/2023,Thursday,May
30,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,21 ST/140 AV,4,5,2023,5/4/2023,Thursday,May
31,5/4/2023 12:00,Non-Violent,Property,Break and Enter Commercial,81 ST/86 AV,4,5,2023,5/4/2023,Thursday,May
32,5/4/2023 12:00,Non-Violent,Property,Internet Fraud,109 AV/94 ST,4,5,2023,5/4/2023,Thursday,May
33,5/4/2023 12:00,Disorder,Mischief/Graffiti,Mischief - Property,110 ST/85 AV,4,5,2023,5/4/2023,Thursday,May
34,5/4/2023 12:00,Non-Violent,Property,Possession Stolen Property,109 AV/97 ST,4,5,2023,5/4/2023,Thursday,May
35,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,89 ST/CONNORS RD,4,5,2023,5/4/2023,Thursday,May
36,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,TREDGER CT/TREDGER CT,4,5,2023,5/4/2023,Thursday,May
37,5/4/2023 12:00,Non-Violent,Property,Fraud - Financial,104 AV/117 ST,4,5,2023,5/4/2023,Thursday,May
39,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,124 AV/97 ST,4,5,2023,5/4/2023,Thursday,May
40,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,110 ST/21 AV,4,5,2023,5/4/2023,Thursday,May
41,5/4/2023 12:00,Drugs,Drug Violations,Drugs,97 ST/JASPER AV,4,5,2023,5/4/2023,Thursday,May
42,5/4/2023 12:00,Disorder,General Disorder,Trouble with Person,GRIESBACH RD/GRIESBACH SCHOOL RD,4,5,2023,5/4/2023,Thursday,May
43,5/4/2023 12:00,Disorder,Mischief/Graffiti,Mischief - Property,118 AV/89 ST,4,5,2023,5/4/2023,Thursday,May
44,5/4/2023 12:00,Non-Violent,Property,Theft Over $5000,106 ST/84 AV,4,5,2023,5/4/2023,Thursday,May
45,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,106A AV/96 ST,4,5,2023,5/4/2023,Thursday,May
46,5/4/2023 12:00,Disorder,General Disorder,Trouble with Person,59 ST/148 AV,4,5,2023,5/4/2023,Thursday,May
47,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,137 AV/50 ST,4,5,2023,5/4/2023,Thursday,May
48,5/4/2023 12:00,Non-Violent,Property,Break and Enter Residential,105 ST/JASPER AV,4,5,2023,5/4/2023,Thursday,May
50,5/4/2023 12:00,Disorder,Mischief/Graffiti,Mischief - Property,102 AV/106 ST,4,5,2023,5/4/2023,Thursday,May
52,5/4/2023 12:00,Drugs,Drug Violations,Drugs,114 ST/NOT NAMED RD,4,5,2023,5/4/2023,Thursday,May
53,5/4/2023 12:00,Non-Violent,Property,Theft Under $5000,123A ST/137 AV,4,5,2023,5/4/2023,Thursday,May
54,5/4/2023 12:00,Disorder,General Disorder,Suspicious Person,52A ST SW/21A AV SW,4,5,2023,5/4/2023,Thursday,May
55,5/4/2023 12:00,Disorder,General Disorder,Trouble with Person,96 ST/102 AV,4,5,2023,5/4/2023,Thursday,May
